0,14.1340722036,21.9635511987
1,14.1542551468,25.5981670847
2,14.1528233558,24.6644863911
3,14.1545574412,26.1324700963
4,14.1839052646,23.4675236707
5,14.1427749569,28.4020578058
6,14.1382301517,23.5590276142
7,14.1210215321,21.4802530095
8,14.140891041,24.1694225436
9,14.1390261343,25.2344274691
10,14.143204154,22.6668882234
11,14.1510576267,24.0229057871
12,14.132035796,25.6073040954
13,14.1563451857,25.5574145787
14,14.16266155,22.7498302386
15,14.1505761054,23.0002475591
16,14.1578121819,27.6528887662
17,14.143181034,27.3482106564
18,14.1570469419,23.7765657545
19,14.1746279539,23.864281575
20,14.1298292461,20.9932829966
21,14.1714789765,22.0916614101
22,14.1511323549,22.4196054627
23,14.1820060797,23.6320802346
24,14.1526591605,23.5109370664
25,14.1478270471,24.4452407372
26,14.1423291598,24.6122793974
27,14.1327957423,25.2169374092
28,14.1236269477,26.3987725492
29,14.1347889481,19.0691437894
30,14.140159021,25.5689789509
31,14.1577335917,19.6346399371
32,14.1356978421,22.4061261572
33,14.1910371502,22.8559655142
34,14.1467119905,28.3690561241
35,14.1507988426,23.9114883004
36,14.1706999549,25.3319531954
37,14.1549829721,25.1659730948
38,14.1508959378,24.9123616063
39,14.1721579643,27.1460671172
40,14.1182448324,24.9229758237
41,14.1559254289,23.2899295421
42,14.1562200974,24.7500270403
43,14.155968518,24.7691959151
44,14.1444473099,22.3660309333
45,14.1452913787,28.7674596681
46,14.1613776836,21.5078408291
47,14.1425255764,22.7037368062
48,14.1978481591,23.9092722068
49,14.1563644081,28.0020495253
50,14.1601075927,23.1254340218
51,14.1654477822,22.6303102
52,14.1499012651,28.3156186914
53,14.1708645455,26.8913295993
54,14.1212437771,24.4364618659
55,14.1567627115,23.2951662192
56,14.1599680974,19.7556592118
57,14.1607862689,24.2688732459
58,14.1667190265,27.4254621429
59,14.1466086454,26.7732416167
60,14.1560211674,26.8677796246
61,14.1586526299,25.4499049761
62,14.1773131448,27.0223867678
63,14.1697713139,21.9504244184
64,14.156721505,23.366616031
65,14.1485500082,24.6037061658
66,14.1594778935,30.2200153973
67,14.1359618456,20.2952421647
68,14.1437684392,21.387017464
69,14.1591838631,25.1216917865
70,14.1741422725,25.9477163763
71,14.1557406128,23.0889421685
72,14.1320637373,23.7196276508
73,14.1371286581,23.7417512094
74,14.1382005388,22.7551402007
75,14.157058042,26.1145332233
76,14.1525079505,21.5800004776
77,14.1524853051,25.0006233911
78,14.1735039134,26.9953642368
79,14.145705354,25.6316665239
80,14.1211151293,28.081840832
81,14.15798005,24.8565385262
82,14.1453226018,20.8052869125
83,14.1579364004,20.0814517564
84,14.1459037495,22.709101213
85,14.1313582606,22.4765585632
86,14.1478450737,23.733574984
87,14.1578932495,25.3058885706
88,14.1280198051,24.0139355959
89,14.1559780136,22.7362985973
90,14.1769002621,25.8160733348
91,14.1569329526,24.2372099172
92,14.1511246636,26.3532001347
93,14.1391691849,23.2394053646
94,14.1725487699,23.5039728717
95,14.1546272319,20.2093059332
96,14.1469314303,24.2443086737
97,14.1158088401,23.3477820272
98,14.1584669574,24.1917073336
99,14.1752194161,22.727362211
